RETAILER,OFFER,idx
THE HOME DEPOT,"Back to the Roots Dry Plant Food, 5 pounds, at The Home Depot",130
WALMART,"Burts Bees Sensitive Lotions and Creams, select varieties, at Walmart",131
TARGET,"Durex Massage & Play 2 in 1 Pleasure Gel, select varieties, at Walmart or Target",132
KROGER,"Butterball, select varieties, spend 10 at Kroger",135
WALMART,"RESPAWN by 5 GUM, at Walmart",136
LOWES HOME IMPROVEMENT,"Back to the Roots Garden Soil, 1 cubic foot, at Lowes Home Improvement",137
SIOBEAUTY.COM,"SiO Beauty Patches, online at Siobeauty.com",138
WALMART,Michael Angelos Sauce at Walmart,141
PAVILIONS,Spend 155 at Pavilions,142
ACME,Spend 90 at ACME,144
AMAZON,"Welchs Fruit Snacks, 250 count, online at Amazon",147
ACME,Spend 250 at ACME,152
SMITHS,"Butterball, select varieties, spend 10 at Smiths",154
AMAZON,"Perfect Keto Collagen Peptides, online at Amazon",155
AMAZON,"Perfect Keto MCT Oil Powder, online at Amazon",156
STAR MARKET,Spend 90 at Star Market,159
TGI FRIDAYS,Spend 35 at TGI Fridays,166
STAR MARKET,Shop 2 times at Star Market,170
BLUE APRON,Blue Apron Meal Kits,173
WALMART,"Aleve products, select varieties, 80 count at Walmart",174
TARGET,"Welchs Juicefuls Juicy Fruit Snacks, 14 count, at Target",175
MCALISTERS DELI,"Sign up for McAlisters Deli Rewards, tap for details",177
CENTRAL MARKET,"Arbos Cheese Dip, 12 ounce, buy at Central Market",178
TARGET,LOréal Paris Excellence Hair Color at Target,179
WALMART,"Kradle, select varieties, spend 20 at Walmart",180
SHAWS,Shop 2 times at Shaws,183
SHAWS,Any Shaws receipt,192
ZAXBYS,Spend 45 at Zaxbys,197
TARGET,"Back to the Roots Raised Bed Gardening Kit with Soil, Seeds and Plant Food, at Target",198
ACME,Any ACME receipt,200
TOM THUMB,Spend 220 at Tom Thumb,201
WALMART,"Welchs Fruit n Yogurt Snacks, 18 count, at Walmart",203
WALMART,"CORE Hydration, select varieties, at Walmart",205
COSTCO,When you join Costco as a Gold Star Member New Members Only,206
FARMER BOYS,Spend 40 at Farmer Boys,208
TARGET,"Colgate Toothpaste AND Colgate Toothbrush, select varieties at Walmart or Target",209
TARGET,"LOréal Paris Hair color, select varieties, spend 25 at Target",210
KFC,Spend 15 at KFC,212
VONS,Spend 275 at Vons,213
WALMART,"Klondike Cones, spend 10 at Walmart ",216
H-E-B,"Beyond Steak Plant-Based seared tips, 10 ounce at H-E-B",218
CHEWY,"Kradle, select products, online at Chewy.com",219
STAR MARKET,Spend 120 at Star Market,220
VONS,Shop 2 times at Vons,221
AMAZON,"MTN DEW Kickstart, 16-ounce 12 count, select varieties, at Amazon Storefront",223
COSTCO,When you join Costco as an Executive Member New Members Only,224
PAVILIONS,Shop 2 times at Pavilions,226
AMAZON,"Stubborn Soda OR Bundaberg Ginger Beer, select varieties, at Amazon Storefront",228
STAR MARKET,Spend 220 at Star Market,231
TGI FRIDAYS,Spend 45 at TGI Fridays,233
TOM THUMB,Any Tom Thumb receipt,237
FRYS FOOD STORE,"Butterball, select varieties, spend 10 at Frys Food Store",238
TARGET,"Beyond Steak Plant-Based seared tips, 10 ounce, buy 2 at Target",243
SHAWS,Spend 300 at Shaws,248
FRESH THYME MARKET,Spend 50 at Fresh Thyme Market,249
AMAZON,"Kradle, select varieties, online at Amazon",254
AMAZON,"Starry Lemon Lime Soda, 7.5-ounce 10 pack, at Amazon Storefront",255
WALMART,"Burts Bees Facial Wipes, select varieties, 30 count at Walmart",257
WALMART,"Aleve products AND AleveX, select varieties, at Walmart",258
WALMART,"Tyson Products, select varieties, spend 15 at Walmart",261
SAFEWAY,Spend 210 at Safeway,262
WALMART,Klondike Cones at Walmart ,263
ALBERTSONS,Spend 110 at Albertsons,264
TARGET,"Arber, at Target",270
ACME,Spend 130 at ACME,272
QFC,"Butterball, select varieties, spend 10 at QFC",274
PAVILIONS,Spend 100 at Pavilions,275
WALMART,"Burts Bees products, select varieties, at Walmart",279
FARMER BOYS,Spend 20 at Farmer Boys,282
DICKEYS BARBECUE PIT,Spend 30 at Dickeys Barbecue Pit,285
WALMART,Back to the Roots Microgreens Grow Kit OR Seed Refill at Walmart,288
KFC,Spend 40 at KFC,289
WALMART,"Bai Antioxidant, 6 pack, at Walmart",290
DICKEYS BARBECUE PIT,Spend 20 at Dickeys Barbecue Pit,291
TGI FRIDAYS,Spend 25 at TGI Fridays,292
TARGET,"LOréal Paris Hair color, select varieties, spend 9 at Target",293
TARGET,"LOréal Paris Makeup, spend 30 at Target",297
TOM THUMB,Spend 115 at Tom Thumb,298
RANDALLS,Any Randalls receipt,299
RANDALLS,Spend 75 at Randalls,300
CVS,Spend 10 at CVS,308
WALMART,"OxiClean Laundry Stain Removers, select varieties at Walmart",309
WALMART,Country Crock Plant Based Cream at Walmart,310
WALMART,"Snuggle Liquid Fabric Softener, at Walmart",313
PET SUPPLIES PLUS,"Kradle, select varieties, at Pet Supplies Plus",315
MARIANOS,"Butterball, select varieties, spend 10 at Marianos",317
WALMART,"CORE Hydration, select varieties, buy 2 at Walmart",318
DICKEYS BARBECUE PIT,Spend 40 at Dickeys Barbecue Pit,319
WALMART,"Burts Bees Sensitive Lotions and Creams, select varieties, at Walmart",324
WALMART,"Arber, at Walmart",325
PAVILIONS,Any Pavilions receipt,327
WALMART,Back to the Roots Grow Kits at Walmart or The Home Depot,328
SAFEWAY,Any Safeway receipt,329
WALMART,Back to the Roots Grow Hydroponic Grow Kit OR Refill Bundle at Walmart,331
PICK N SAVE,"Butterball, select varieties, spend 10 at Pick n Save OR Metro Market",335
TARGET,LOreal Paris True Match Foundation at Target,338
ALBERTSONS,Spend 220 at Albertsons,340
AMAZON,"Perfect Keto Super Reds, online at Amazon",341
WALMART,"Back to the Roots Seeds, at Walmart",344
CVS,Spend 30 at CVS,347
TARGET,"Back to the Roots Organic Kits and Planters, at Target",348
AMAZON,"Perfect Keto Exogenous Ketones Powder, online at Amazon",350
LOWES HOME IMPROVEMENT,"Back to the Roots Potting Mix, 1 cubic foot, at Lowes Home Improvement",352
STAR MARKET,Any Star Market receipt,354
AMAZON,"Squirrel, The Bedside Perch, online at Amazon",355
TARGET,"Dove Hand Wash, select varieties at Target",359
BURGER KING,Spend 15 at Burger King,360
TARGET,LOréal Paris True Match Foundation at Target,362
SUBWAY,Spend 35 at Subway,365
SAFEWAY,Spend 115 at Safeway,367
RANDALLS,Shop 2 times at Randalls,369
WALMART,"Persil ProClean, select varieties, at Walmart",371
TARGET,"Back to the Roots Organic 3-In-1 Seed Starting Mix 12 quart, at Walmart or Target",372
SAFEWAY,Spend 90 at Safeway,375
CHEWY,Spend 50 at Chewy.com,377
KFC,Spend 10 at KFC,379
PAVILIONS,Spend 270 at Pavilions,382
WALMART,"Back to the Roots Soils, select varieties, at Walmart",383
