BRAND,OFFER
BRITA,Brita Pitcher AND Filter
FARMER BOYS,Spend 40 at Farmer Boys
PAVILIONS,Shop 2 times at Pavilions
SIO BEAUTY,"SiO Beauty Patches, online at Siobeauty.com"
SARA LEE,"Sara Lee bread select varieties, buy 2"
TWIX,"TWIX, select varieties"
GOYA,"GOYA Adobo Seasoning, 8 ounce"
BACK TO THE ROOTS,"Back to the Roots Soils, select varieties and sizes, at Lowes"
SARGENTO,"Sargento Sliced Cheese, spend 25"
ARBOS,"Arbos Cheese Dip, 12 ounce, buy at Central Market"
M&MS,"M&MS chocolate candies, select varieties"
BUTTERBALL,"Butterball, select varieties, spend 10 at Marianos"
BACK TO THE ROOTS,Back to the Roots Microgreens Grow Kit OR Seed Refill at Walmart
RUSTIK OVEN,The Rustik Oven bread
KFC,Spend 15 at KFC
PERSIL,"Persil ProClean, select varieties, at Walmart"
BARILLA,Barilla Pesto Sauce
SUPER COFFEE,"Super Coffee, 12 ounce single serve, buy 3"
PEPSI,"PepsiCo Variety Pack, select varieties, at Amazon Storefront"
ASTEPRO,"Adult Astepro Allergy, 22 count at Dollar General"
KLONDIKE,Klondike Cones at Walmart 
COOKED PERFECT,"Cooked Perfect Meatballs, Homestyle OR Turkey, at Walmart"
ORBIT,"ORBIT, select sizes, buy 1"
TGI FRIDAYS,Spend 60 at TGI Fridays
BEYOND MEAT,"Beyond Meat Plant-Based products, spend 15"
RED GOLD,Red Gold Tomato Ketchup
CRUNCHMASTER,"Crunchmaster Crackers, spend 4"
TWIX,"TWIX, select sizes"
RANDALLS,Spend 75 at Randalls
BACK TO THE ROOTS,"Back to the Roots Raised Bed Gardening Kit with Soil, Seeds and Plant Food, at Target"
FRUTERO,"Frutero Ice Cream, 1 pint"
BACK TO THE ROOTS,"Back to the Roots Garden Soil, 1 cubic foot, at Lowes Home Improvement"
KRADLE,"Kradle, select varieties, online at Amazon"
KFC,Spend 10 at KFC
PEPSI,"PepsiCo Beverage, 7.5-ounce 10 pack, select varieties, at Amazon Storefront"
RAOS,"Raos, Pasta OR Sauce, spend 10"
ALBERTSONS,Spend 110 at Albertsons
BUTTERBALL,"Butterball, select varieties, spend 10 at Food 4 Less"
GORTONS,"Gortons Air Fried Butterfly Shrimp, at Walmart"
CHEWY,Spend 50 at Chewy.com
TOM THUMB,Spend 220 at Tom Thumb
EXTRA,"EXTRA, select sizes"
BEYOND MEAT,"Beyond Meat Plant-Based products, spend 25"
ALFAROS,"Sara Lee or Alfaros Artesano bread, spend 20"
PAVILIONS,Spend 155 at Pavilions
GLAD,Glad ForceFlex Max Strength Trash Bags
RANDALLS,Shop 2 times at Randalls
BUBBIES,"Bubbies Pickles, Sauerkraut, and Condiments at Whole Foods or Sprouts"
SUBWAY,Spend 25 at Subway
BACK TO THE ROOTS,"Back to the Roots Soils, select varieties and sizes, at Walmart"
EXTRA,"EXTRA, select varieties"
FARMER BOYS,Spend 20 at Farmer Boys
SQUIRREL,"Squirrel, The Bedside Perch, online at Amazon"
VIZZY,"Coors Light, Miller Lite OR VIZZY 12 packs, buy 3"
GATORADE,"GATORLYTE OR GATORADE Fit Single Serve Bottle, select varieties, buy 2"
SARGENTO,Sargento Product
ORBIT,"ORBIT, select varieties"
CESAR,"CESAR Wet Dog Food, spend 20"
ALFAROS,"Sara Lee or Alfaros Artesano bread, buy 2"
DR PEPPER,"Dr Pepper, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers"
HIDDEN VALLEY RANCH,"Hidden Valley Ranch Seasoning, select varieties"
COOKED PERFECT,"Cooked Perfect Meatballs, at Walmart"
OXICLEAN,"OxiClean Laundry Stain Removers, select varieties at Walmart"
TGI FRIDAYS,Spend 45 at TGI Fridays
STARRY,"Starry Lemon Lime Soda, 7.5-ounce 10 pack, at Amazon Storefront"
BROWNIE BRITTLE,"Brownie Brittle Snacks, select varieties, buy 2"
ZAXBYS,Spend 45 at Zaxbys
WELCHS FRUIT SNACKS,"Welchs Fruit Snacks, select varieties, 6 count, buy 3"
SHAWS,Any Shaws receipt
KRADLE,"Kradle, select varieties, spend 20 at Walmart"
STARBURST,"STARBURST, select varieties"
BARILLA,"Barilla pasta, select varieties, buy 4"
PUREX,"Purex laundry detergent, select varieties, at Walmart"
VIZZY,"Coors Light, Miller Lite OR VIZZY 12 packs, buy 5"
VIZZY,"Coors Light, Miller Lite OR VIZZY 12 pack"
BAI,"Bai Antioxidant, 6 pack, buy 2 at Walmart"
BURTS BEES,"Burts Bees products, select varieties, at Walmart"
COSTCO,When you join Costco as an Executive Member New Members Only
VONS,Spend 150 at Vons
BLUE APRON,Blue Apron Meal Kits
HIDDEN VALLEY RANCH,"Hidden Valley Ranch Night Seasoning Mix, 1 count"
STAR MARKET,Spend 120 at Star Market
BUTTERBALL,"Butterball, select varieties, spend 10 at King Soopers"
DICKEYS BARBECUE PIT,Spend 40 at Dickeys Barbecue Pit
KRADLE,"Kradle, select varieties, at Pet Supplies Plus"
ALEVE,AleveX at Walmart
SHAWS,Spend 185 at Shaws
DEGREE,Degree for Men OR Women Dry Spray
SIR KENSINGTONS,"Sir Kensingtons Condiments, buy 2"
ALBERTSONS,Shop 2 times at Albertsons
5 GUM,"RESPAWN by 5 GUM, at Walmart"
GATORADE,"GATORLYTE OR GATORADE Fit Single Serve Bottle, select varieties"
NATURE VALLEY,Nature Valley Protein Granola
STAR MARKET,Spend 220 at Star Market
ALFAROS,"Sara Lee or Alfaros Artesano bread, buy 5"
COSTCO,When you join Costco as a Gold Star Member New Members Only
ACME,Spend 130 at ACME
SKITTLES,"SKITTLES, select sizes"
GATORADE,"GATORADE Fast Twitch, 12-ounce 12 pack, at Amazon Storefront"
WELCHS FRUIT SNACKS,"Welchs Fruit Snacks, 250 count, online at Amazon"
ALBERTSONS,Spend 65 at Albertsons
GATORADE,"GATORADE Fast Twitch, 12-ounce single serve, buy 2 at Kroger"
GOOD HUMOR,Good Humor Viennetta Frozen Vanilla Cake
PAVILIONS,Any Pavilions receipt
HIDDEN VALLEY RANCH,"Hidden Valley Ranch Seasoning Mix Packet, 1 count"
BACK TO THE ROOTS,"Back to the Roots Grow Seed Starting Pots OR Germination Trays, at Walmart or Target"
TOM THUMB,Any Tom Thumb receipt
GILLETTE VENUS,"Gillette Venus  for Pubic Hair & Skin, spend 20"
DICKEYS BARBECUE PIT,Spend 20 at Dickeys Barbecue Pit
CREATIVITY STREET,"Creativity Street, spend 10"
BRITA,Brita Pitcher OR Dispenser
ZAXBYS,Spend 20 at Zaxbys
FRESH THYME MARKET,Spend 50 at Fresh Thyme Market
CHOSEN FOODS,Chosen Foods Dressings
