BRAND,OFFER,idx
PEPSI,"PepsiCo Beverage, 7.5-ounce 10 pack, select varieties, at Amazon Storefront",57
SARA LEE,"Sara Lee bread, select varieties, buy 2 at Walmart",58
ALFAROS,"Sara Lee or Alfaros Artesano bread, buy 5",59
BAI,"Bai Antioxidant, 6 pack, buy 2 at Walmart",60
FRESH THYME MARKET,Spend 25 at Fresh Thyme Market,63
ALBERTSONS,Any Albertsons receipt,64
ALBERTSONS,Shop 2 times at Albertsons,65
QUEEN V,QUEEN V The VIP & The Wingwoman Soft Touch Silicone Vibrator at Walmart,67
BACK TO THE ROOTS,"Back to the Roots Grow Seed Starting Pots OR Germination Trays, at Walmart or Target",68
DOVE,"Dove Hand Wash, select varieties, buy 2 at Target",69
FRUTERO,"Frutero Ice Cream, 1 pint",70
RED GOLD,Red Gold Tomato Juice,71
ALBERTSONS,Spend 65 at Albertsons,73
TALENTI,Talenti Mini Bars,75
SIMPLY SPIKED,"Simply Spiked Signature Peach 12-pack or larger, buy 2",77
PEPSI,"PepsiCo Variety Pack, select varieties, at Amazon Storefront",80
VONS,Spend 100 at Vons,81
SUBWAY,Spend 15 at Subway,82
FRESH THYME MARKET,Spend 35 at Fresh Thyme Market,83
MARINELA,"Marinela sweet baked goods, buy 2",85
BACK TO THE ROOTS,"Back to the Roots Soils, select varieties and sizes, at Walmart",86
WELCHS FRUIT SNACKS,"Welchs Fruit Snacks, select varieties, 6 count, buy 3",88
TOM THUMB,Spend 90 at Tom Thumb,89
VIZZY,"Coors Light, Miller Lite OR VIZZY 12 pack",91
COOKED PERFECT,"Cooked Perfect Meatballs, Homestyle OR Turkey, at Walmart",92
GILLETTE VENUS,Gillette Venus  for Pubic Hair & Skin,95
BARILLA,"Barilla Pasta, select varieties, buy 2",96
ENVY,Envy Apples pre-packed bags,98
TOM THUMB,Shop 2 times at Tom Thumb,99
PUREX,"Purex laundry detergent, select varieties, at Walmart",101
SAFEWAY,Shop 2 times at Safeway,103
GEORGES FARMERS MARKET,"Georges Farmers Market Chicken Wings, at Sams Club",107
RAOS,"Michael Angelos OR Raos Frozen Entrees, spend 10",108
SARGENTO,"Sargento Sliced Cheese, spend 25",109
SARGENTO,"Sargento Sliced Cheese, spend 12",110
PERFECT KETO,"Perfect Keto Beauty  Sleep Collagen, online at Amazon",112
DOVE CHOCOLATE,"DOVE chocolate, select varieties",113
SIMPLY SPIKED,Simply Spiked 12 pack,114
PERFECT KETO,"Perfect Keto Bars, online at Amazon",115
GILLETTE VENUS,"Gillette Venus  for Pubic Hair & Skin, spend 20",116
ALEVE,AleveX at Walmart,117
ENVY,"Envy Apples, pre-packed bags",118
BUTTERBALL,"Butterball, select varieties, spend 10 at Fred Meyer",123
THOMAS,"Thomas Bagel Thins, buy 2",124
TGI FRIDAYS,Spend 60 at TGI Fridays,125
STARBURST,"STARBURST, select sizes, buy 1",127
FRESH STEP,Fresh Step Outstretch Cat Litter,128
ALFAROS,"Sara Lee or Alfaros Artesano bread, spend 8",129
BACK TO THE ROOTS,"Back to the Roots Dry Plant Food, 5 pounds, at The Home Depot",130
BURTS BEES,"Burts Bees Sensitive Lotions and Creams, select varieties, at Walmart",131
DUREX,"Durex Massage & Play 2 in 1 Pleasure Gel, select varieties, at Walmart or Target",132
VIZZY,"Coors Light, Miller Lite OR VIZZY 12 packs, buy 4",133
BUTTERBALL,"Butterball, select varieties, spend 10 at Kroger",135
5 GUM,"RESPAWN by 5 GUM, at Walmart",136
BACK TO THE ROOTS,"Back to the Roots Garden Soil, 1 cubic foot, at Lowes Home Improvement",137
SIO BEAUTY,"SiO Beauty Patches, online at Siobeauty.com",138
WESSON,Wesson Oil Products,139
BUBBIES,"Bubbies Pickles, Sauerkraut, and Condiments at Whole Foods or Sprouts",140
MICHAEL ANGELOS,Michael Angelos Sauce at Walmart,141
PAVILIONS,Spend 155 at Pavilions,142
CESAR,CESAR Wet Dog Food Singles,143
ACME,Spend 90 at ACME,144
HIDDEN VALLEY RANCH,"Hidden Valley Ranch Seasoning Mix Packet, 1 count",145
SARGENTO,"Sargento products, select varieties",146
WELCHS FRUIT SNACKS,"Welchs Fruit Snacks, 250 count, online at Amazon",147
SIMPLY SPIKED,Simply Spiked Signature Peach 12 pack,149
SARGENTO,"Sargento products, select varieties, buy 3",151
ACME,Spend 250 at ACME,152
BUTTERBALL,"Butterball, select varieties, spend 10 at Smiths",154
PERFECT KETO,"Perfect Keto Collagen Peptides, online at Amazon",155
PERFECT KETO,"Perfect Keto MCT Oil Powder, online at Amazon",156
BRITA,Brita Pitcher AND Filter,158
STAR MARKET,Spend 90 at Star Market,159
SNICKERS,"SNICKERS, select sizes, buy 1",160
BAYS,Bays English Muffins,162
SUPER COFFEE,"Super Coffee, 12 ounce single serve, buy 3",163
SARA LEE,"Sara Lee bread select varieties, buy 2",164
GOYA,GOYA Coconut Water,165
TGI FRIDAYS,Spend 35 at TGI Fridays,166
RANDALLS,Spend 110 at Randalls,167
STAR MARKET,Shop 2 times at Star Market,170
HIDDEN VALLEY RANCH,"Hidden Valley Ranch Seasoning, select varieties",171
BLUE APRON,Blue Apron Meal Kits,173
ALEVE,"Aleve products, select varieties, 80 count at Walmart",174
WELCHS FRUIT SNACKS,"Welchs Fruit Snacks, select varieties, 6 count, buy 2",176
MCALISTERS DELI,"Sign up for McAlisters Deli Rewards, tap for details",177
ARBOS,"Arbos Cheese Dip, 12 ounce, buy at Central Market",178
KRADLE,"Kradle, select varieties, spend 20 at Walmart",180
SHAWS,Shop 2 times at Shaws,183
ASTEPRO,"Childrens Astepro Allergy, 22 count at Dollar General",185
SNICKERS,"SNICKERS chocolate candy bar, select varieties",188
RAOS,Raos Frozen Pizza,189
GATORADE,"GATORADE Fast Twitch, 12-ounce single serve, buy 2 at Kroger",190
BIMBO,"Bimbo sweet baked goods, buy 2",191
SHAWS,Any Shaws receipt,192
GORTONS,"Gortons, at select retailers",193
BUTTERBALL,"Butterball, select varieties, spend 10 at Food 4 Less",194
NATUCHIPS,NatuChips Plantain Chips,195
ZAXBYS,Spend 45 at Zaxbys,197
BACK TO THE ROOTS,"Back to the Roots Raised Bed Gardening Kit with Soil, Seeds and Plant Food, at Target",198
ACME,Any ACME receipt,200
TOM THUMB,Spend 220 at Tom Thumb,201
PROMISED LAND DAIRY,"Promised Land Dairy Milk, 52-ounce",202
HIDDEN VALLEY RANCH,Hidden Valley Ranch Seasoning Shaker,204
CORE HYDRATION,"CORE Hydration, select varieties, at Walmart",205
COSTCO,When you join Costco as a Gold Star Member New Members Only,206
FARMER BOYS,Spend 40 at Farmer Boys,208
TWIX,"TWIX, select varieties",211
KFC,Spend 15 at KFC,212
VONS,Spend 275 at Vons,213
EXTRA,"EXTRA, select varieties",214
KLONDIKE,"Klondike Cones, spend 10 at Walmart ",216
KRADLE,"Kradle, select products, online at Chewy.com",219
STAR MARKET,Spend 120 at Star Market,220
VONS,Shop 2 times at Vons,221
WONDERWORKS,Wonderworks Keto Friendly Cereal,222
COSTCO,When you join Costco as an Executive Member New Members Only,224
ASTEPRO,"Adult Astepro Allergy, 22 count at Dollar General",225
PAVILIONS,Shop 2 times at Pavilions,226
SKITTLES,"SKITTLES, select varieties",227
STUBBORN SODA,"Stubborn Soda OR Bundaberg Ginger Beer, select varieties, at Amazon Storefront",228
STAR MARKET,Spend 220 at Star Market,231
TGI FRIDAYS,Spend 45 at TGI Fridays,233
RANDALLS,Spend 210 at Randalls,235
TOM THUMB,Any Tom Thumb receipt,237
BUTTERBALL,"Butterball, select varieties, spend 10 at Frys Food Store",238
ORBIT,"ORBIT, select sizes, buy 1",239
THOMAS,"Thomas, select varieties, spend 10",242
EXTRA,"EXTRA, select sizes",245
GORTONS,Gortons at select retailers,246
BRITA,Brita Standard OR Elite Filters,247
SHAWS,Spend 300 at Shaws,248
FRESH THYME MARKET,Spend 50 at Fresh Thyme Market,249
STARRY,"Starry Lemon Lime Soda multipacks, at Kroger",250
BARILLA,"Barilla pasta, select varieties, buy 3",251
VIZZY,"Coors Light, Miller Lite OR VIZZY 12 packs, buy 2",253
KRADLE,"Kradle, select varieties, online at Amazon",254
STARRY,"Starry Lemon Lime Soda, 7.5-ounce 10 pack, at Amazon Storefront",255
EVOLVE,"EVOLVE Plant-Based Protein Shake, 4 count, select varieties, at Whole Foods",256
BURTS BEES,"Burts Bees Facial Wipes, select varieties, 30 count at Walmart",257
ALEVE,"Aleve products AND AleveX, select varieties, at Walmart",258
BEYOND MEAT,"Beyond Meat Plant-Based products, spend 15",259
GOYA,"GOYA Adobo Seasoning, 8 ounce",260
SAFEWAY,Spend 210 at Safeway,262
KLONDIKE,Klondike Cones at Walmart ,263
ALBERTSONS,Spend 110 at Albertsons,264
BUBBIES,"Bubbies Pickles, Sauerkraut, OR Condiments at Whole Foods or Sprouts",265
ALFAROS,"Sara Lee or Alfaros Artesano bread, buy 2",266
BEYOND MEAT,"Beyond Meat Plant-Based products, spend 20",267
RANDALLS,Any Randalls receipt,269
ARBER,"Arber, at Target",270
ACME,Spend 130 at ACME,272
BUTTERBALL,"Butterball, select varieties, spend 10 at QFC",274
PAVILIONS,Spend 100 at Pavilions,275
GLAD,"Glad Trash Bags, 4 OR 8 Gallon",276
TOSTITOS,Tostitos Toppers,277
RATIO,ratio KETO Friendly Cereal OR Granola,278
BURTS BEES,"Burts Bees products, select varieties, at Walmart",279
FARMER BOYS,Spend 20 at Farmer Boys,282
CHOSEN FOODS,Chosen Foods Dressings,284
DICKEYS BARBECUE PIT,Spend 30 at Dickeys Barbecue Pit,285
DEGREE,Degree for Men OR Women Dry Spray,286
VIZZY,"Coors Light, Miller Lite OR VIZZY 12 packs, buy 3",287
BACK TO THE ROOTS,Back to the Roots Microgreens Grow Kit OR Seed Refill at Walmart,288
KFC,Spend 40 at KFC,289
BAI,"Bai Antioxidant, 6 pack, at Walmart",290
DICKEYS BARBECUE PIT,Spend 20 at Dickeys Barbecue Pit,291
TGI FRIDAYS,Spend 25 at TGI Fridays,292
SARGENTO,"Sargento Sliced Cheese, spend 18",294
SKITTLES,"SKITTLES, select sizes",295
LIFESAVERS,"LIFESAVERS, any size, buy 1",296
TOM THUMB,Spend 115 at Tom Thumb,298
RANDALLS,Any Randalls receipt,299
RANDALLS,Spend 75 at Randalls,300
RANDALLS,Shop 2 times at Randalls,301
GATORADE,"GATORADE Fast Twitch, 12-ounce single serve",302
NEKTER,Spend 10 at Nekter,303
BROWNIE BRITTLE,"Brownie Brittle Snacks, select varieties, buy 2",304
CHEERIOS,Cheerios Oat Crunch Berry Cereal,305
GLAD,Glad ForceFlex Max Strength Trash Bags,306
GATORADE,"GATORADE Fast Twitch, 12-ounce single serve, at Kroger",307
CVS,Spend 10 at CVS,308
OXICLEAN,"OxiClean Laundry Stain Removers, select varieties at Walmart",309
SNUGGLE,"Snuggle Liquid Fabric Softener, at Walmart",313
HIDDEN VALLEY RANCH,"Hidden Valley Ranch Night Seasoning Mix, 1 count",314
KRADLE,"Kradle, select varieties, at Pet Supplies Plus",315
BACK TO THE ROOTS,"Back to the Roots Soils, select varieties and sizes, at Lowes",316
BUTTERBALL,"Butterball, select varieties, spend 10 at Marianos",317
CORE HYDRATION,"CORE Hydration, select varieties, buy 2 at Walmart",318
DICKEYS BARBECUE PIT,Spend 40 at Dickeys Barbecue Pit,319
BACK TO THE ROOTS,"Back to the Roots Soils, select varieties, at Walmart or Lowes",321
BARILLA,"Barilla pasta, select varieties, buy 4",322
GATORADE,"GATORLYTE OR GATORADE Fit Single Serve Bottle, select varieties",323
BURTS BEES,"Burts Bees Sensitive Lotions and Creams, select varieties, at Walmart",324
ARBER,"Arber, at Walmart",325
VIZZY,"Coors Light, Miller Lite OR VIZZY 12 packs, buy 5",326
PAVILIONS,Any Pavilions receipt,327
BACK TO THE ROOTS,Back to the Roots Grow Kits at Walmart or The Home Depot,328
SAFEWAY,Any Safeway receipt,329
WELCHS FRUIT SNACKS,"Welchs Fruit Snacks, select varieties, 6 count",330
BACK TO THE ROOTS,Back to the Roots Grow Hydroponic Grow Kit OR Refill Bundle at Walmart,331
ORBIT,"ORBIT, select varieties",333
GATORADE,"GATORADE Fast Twitch, 12-ounce single serve, buy 2 at Kroger",334
BUTTERBALL,"Butterball, select varieties, spend 10 at Pick n Save OR Metro Market",335
RAOS,"Raos, Pasta OR Sauce, spend 10",337
ALFAROS,"Sara Lee or Alfaros Artesano bread, spend 20",339
ALBERTSONS,Spend 220 at Albertsons,340
PERFECT KETO,"Perfect Keto Super Reds, online at Amazon",341
RUSTIK OVEN,The Rustik Oven bread,342
GORTONS,Gortons at select retailers,343
BACK TO THE ROOTS,"Back to the Roots Seeds, at Walmart",344
NATURE VALLEY,Nature Valley Protein Granola,345
BRITA,Brita Pitcher OR Dispenser,346
CVS,Spend 30 at CVS,347
BACK TO THE ROOTS,"Back to the Roots Organic Kits and Planters, at Target",348
SIR KENSINGTONS,"Sir Kensingtons Condiments, buy 2",349
PERFECT KETO,"Perfect Keto Exogenous Ketones Powder, online at Amazon",350
BACK TO THE ROOTS,"Back to the Roots Potting Mix, 1 cubic foot, at Lowes Home Improvement",352
BARILLA,"Barilla pasta, select varieties, buy 2",353
STAR MARKET,Any Star Market receipt,354
SQUIRREL,"Squirrel, The Bedside Perch, online at Amazon",355
SIR KENSINGTONS,Sir Kensingtons Condiments,358
DOVE,"Dove Hand Wash, select varieties at Target",359
BURGER KING,Spend 15 at Burger King,360
CAMERONS COFFEE,Camerons Coffee EcoPods,361
SARA LEE,"Sara Lee Delightful bread, buy 2",363
SUBWAY,Spend 35 at Subway,365
DIXON,"Dixon Safety Carpenter Pencil, 10 count, at Lowes",366
SAFEWAY,Spend 115 at Safeway,367
BREYERS,"Breyers Reeses Ice Cream, select varieties, at GIANT OR MARTINS",368
RANDALLS,Shop 2 times at Randalls,369
JACK LINKS,"Jack Links, select varieties",370
PERSIL,"Persil ProClean, select varieties, at Walmart",371
BACK TO THE ROOTS,"Back to the Roots Organic 3-In-1 Seed Starting Mix 12 quart, at Walmart or Target",372
STARBURST,"STARBURST, select varieties",373
SUPER COFFEE,"Super Coffee, 12 ounce single serve",374
SAFEWAY,Spend 90 at Safeway,375
CHEWY,Spend 50 at Chewy.com,377
SIMPLY ORGANIC,Simply Organic Seasoning Mixes OR Spices,378
KFC,Spend 10 at KFC,379
SARGENTO,Sargento Product,380
THOMAS,Thomas Bagel Thins,381
PAVILIONS,Spend 270 at Pavilions,382
BACK TO THE ROOTS,"Back to the Roots Soils, select varieties, at Walmart",383
